	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fwer	FWER
1769377_at	5.63507221936447	5.76476917954008	6.00018946635601	4.22831004267839	4.54901188599144	4.53599988361797	5.80001028842019	0.185092146859327	4.43777393742927	0.181517686341019	1.3069638900489	0.386219281632932	0.386219281632932	0.000808293054486473	1	1
1769378_at	11.0268836602183	11.1033478863343	11.0089485781113	10.3081946189069	10.3139138381893	10.3680435720294	11.046393374888	0.0501326148641182	10.3300506763752	0.0330268444972148	1.06934551639239	0.0967280777974458	0.0967280777974458	3.23786916364919e-05	0.353834342203583	0.353834342203583
1769379_at	4.91247959642104	4.8915602889073	5.16112367966637	4.37238977612944	4.68411547185875	4.74345404198035	4.98838785499824	0.149958838350891	4.59998642998951	0.199324971120644	1.08443534147765	0.11694403612643	0.11694403612643	0.054261991154034	1	1
1769380_at	0.904739303305867	1.12049884374523	1.16927441877334	1.07452446711986	1.27174240968143	1.39990919648202	1.06483752194148	0.140777639870659	1.2487253577611	0.163908950441545	0.852739567850752	-0.229822894420769	0.229822894420769	0.214464636122921	1	1
1769381_at	1.01214786705675	1.01214786705675	1.10067429027289	1.0480966673679	1.13778984931071	0.98026366550232	1.04165667479546	0.051110754274233	1.05538339406031	0.0790154854172654	0.986993618298241	-0.0188873383508212	0.0188873383508212	0.81299284711606	1	1
1769382_at	1.3548722161308	1.3548722161308	1.29402658098037	1.48830007874383	1.3548722161308	1.3548722161308	1.33459033774732	0.0351292438331146	1.39934817033514	0.0770346123970293	0.953722858999193	-0.068357998504457	0.068357998504457	0.255860773572953	1	1
1769383_at	7.79445677876448	7.90343103323576	7.9447996724022	6.92922519911231	6.96024761091851	6.96039243520631	7.88089582813415	0.0776635243764373	6.94995508174571	0.0179527510152205	1.13394917455418	0.18135597779169	0.18135597779169	3.52583416412487e-05	0.385303157455566	0.385303157455566
1769384_at	2.32266095696794	2.19772970110856	2.29225976711672	2.93542384905541	3.32131404564439	2.86835974217146	2.27088347506441	0.0651510864765878	3.04169921229042	0.244464189364643	0.746583839022799	-0.421623815303452	0.421623815303452	0.00618224738643126	1	1
1769385_at	8.28465960942917	8.30574501005444	8.39340686202722	8.11638864060897	8.00770157297781	7.93756305944888	8.32793716050361	0.0576702687099251	8.02055109101189	0.0901026065360597	1.03832480661288	0.0542578151690567	0.0542578151690567	0.00761466238359392	1	1
1769386_at	1.92179847011034	1.68486125904247	1.80666247393427	1.47056563945593	1.80028525685196	1.55951232003834	1.80444073436236	0.118484229297401	1.61012107211541	0.170586314996382	1.12068636676598	0.164382584637377	0.164382584637377	0.180442853493302	1	1
1769387_at	9.54322554650798	9.58521813189624	9.59839454866918	9.60263668413548	9.46811534367703	9.47120842580777	9.5756127423578	0.0288114965075482	9.51398681787343	0.0767886116587406	1.00647740276123	0.0093147815088434	0.0093147815088434	0.263002287194014	1	1
1769388_at	7.72410876181358	7.70112382166428	7.94833360826346	6.59743104400462	6.75234496085813	6.78451497362937	7.79118873058044	0.13657584451478	6.71143032616404	0.100028019474908	1.16088350052701	0.215223199038028	0.215223199038028	0.000381726979292483	1	1
1769389_at	1.30608988425537	1.45032932924159	1.48830007874383	1.40370817410814	1.48703022515077	1.42386373176953	1.41490643074693	0.0961312906768803	1.43820071034281	0.0434718617434973	0.98380317891073	-0.0235583781150658	0.0235583781150658	0.721599762502174	1	1
1769390_s_at	11.7092448369674	11.5742746345584	11.3533896520499	11.0417110984203	10.986370095977	11.1061218229048	11.5456363745252	0.179647823842824	11.0447343391007	0.059933079461232	1.04535211260367	0.0639889763182209	0.0639889763182209	0.010174477466544	1	1
1769391_at	1.19708349442668	1.28114803008168	1.48830007874383	1.60142486258481	1.28114803008168	1.37772552992164	1.32217720108406	0.149881017477845	1.42009947419604	0.164289304961057	0.931045483157146	-0.103076447272522	0.103076447272522	0.488157146028707	1	1
1769392_at	8.01344959090428	7.76710993789463	7.47593780568755	8.68826334098634	8.48166759845438	8.3662068843205	7.75216577816215	0.269067325672035	8.51204594125374	0.163163179374103	0.910728846115736	-0.134906514618294	0.134906514618294	0.0138892290415277	1	1
1769393_at	1.70364239191761	1.84153774728586	1.90399820888003	1.69050920069548	1.58268117641186	1.69050920069548	1.8163927826945	0.102517390138919	1.65456652593427	0.0622545388463335	1.09780583265992	0.134622909507257	0.134622909507257	0.0796443709390703	1	1
1769394_at	2.00086796971921	2.09215805016884	1.79334899079623	1.61889368258448	1.35977463373732	1.45962044597636	1.96212500356143	0.153125688768454	1.47942958743272	0.130690366641129	1.32627130093183	0.407375922112277	0.407375922112277	0.0142259383212715	1	1
1769395_at	9.75445758561704	9.90420453208679	9.7398187458936	9.6643800311067	9.36478944076548	9.29319892156551	9.79949362119914	0.0909772227060296	9.44078946447923	0.196915862041189	1.03799514416348	0.0537996946518064	0.0537996946518064	0.0457348424154977	1	1
1769396_at	2.15644202987044	2.3586511518221	2.22393495706546	2.0047851884067	2.15644202987044	1.9420174414703	2.24634271291933	0.102950050470703	2.03441488658248	0.110240261647609	1.10417138988442	0.142964125146124	0.142964125146124	0.0717047198759193	1	1
1769397_s_at	12.0455308407686	11.9179449743924	11.7359601869423	11.499941953847	11.5655608827258	11.5895618425828	11.8998120007011	0.155579886163918	11.5516882263852	0.0463925539253072	1.03013618161203	0.0428350709516219	0.0428350709516219	0.0205817949920574	1	1
1769398_at	1.32442777083159	1.34819784197045	1.40731908984977	1.23017213310914	1.32063966459684	1.29308148722322	1.3599815675506	0.0426835428889718	1.28129776164307	0.0463706340778382	1.06140946176838	0.0859813145984419	0.0859813145984419	0.0966295921980201	1	1
1769399_at	1.2188371417439	1.25499679628583	1.32386446089744	1.15283573495166	1.22815582390217	1.21423286607852	1.26589946630906	0.0533557457296907	1.19840814164412	0.040076119790304	1.05631747842796	0.0790435048825394	0.0790435048825394	0.154689887972933	1	1
1769400_at	1.73173903963805	1.614762904112	1.44828373770684	1.53071441166719	1.41186928898949	1.43868196118117	1.59826189381896	0.142446269006059	1.46042188727928	0.0623338518473947	1.09438368990516	0.130118634360315	0.130118634360315	0.199467588860087	1	1
1769401_at	1.46504427845223	1.46504427845223	1.55195151937774	1.47732511176285	1.32442777083159	1.24398401219811	1.49401335876073	0.0501759189428708	1.34857896493085	0.11853049109337	1.10784269784109	0.147753048214433	0.147753048214433	0.121964941079714	1	1
1769402_at	1.12176965205612	1.01467438564813	1.0828203690842	1.44365466581327	1.10966439135783	1.16071588513808	1.07308813559615	0.0542068842329924	1.23801164743639	0.179912067437576	0.866783553949789	-0.206256314390906	0.206256314390906	0.203083925352852	1	1
1769403_at	9.36930279352026	9.27668825179037	9.24828103741963	9.42379316039019	9.42920348146843	9.39201298321378	9.29809069424342	0.0632859760897881	9.41500320835747	0.0200930518503409	0.987582318186545	-0.0180270883914257	0.0180270883914257	0.0380388505787805	1	1
1769404_at	1.83196896161508	1.56042463890369	1.62393408793347	1.38094470387215	1.4680117307086	1.39191127745816	1.67210922948408	0.142037716810581	1.41362257067964	0.0474204806022302	1.18285408295382	0.242272113590736	0.242272113590736	0.0403445135537641	1	1
1769405_at	2.56012049890903	2.58345841775454	2.07900693485305	2.23058661724158	2.23058661724158	1.98151743321	2.40752861717221	0.284747320319905	2.14756355589772	0.143800160447473	1.12105116077266	0.16485211909676	0.16485211909676	0.230932973506407	1	1
1769406_at	7.63197014358798	7.81245482943358	7.97915669853248	5.55591144255899	5.40640503238751	5.48894030489416	7.80786055718468	0.173638868018311	5.48375225994689	0.0748881067217753	1.42381715786342	0.509763891823809	0.509763891823809	2.87928152238737e-05	0.314647884766491	0.314647884766491
1769407_at	6.54458210430519	6.69640832577687	6.53501026040893	6.59405082804443	6.47127756215206	6.40511262482281	6.59200023016366	0.0905466336816341	6.49014700500643	0.0958720661317958	1.01569351589088	0.0224651365503565	0.0224651365503565	0.251962453556946	1	1
1769408_at	2.2936187499196	2.07900693485305	2.05018983984578	1.79206189421109	1.54788129678953	1.69050920069548	2.14093850820614	0.133007700523031	1.6768174638987	0.122664741395691	1.27678686219568	0.352517711793	0.352517711793	0.0113084518709168	1	1
1769409_at	2.18087355832634	2.11893047627134	2.11893047627134	2.01520575835026	1.80856609438784	2.03348875129279	2.13957817028967	0.0357628550988893	1.95242020134363	0.124916252040197	1.09585947165331	0.132062805098119	0.132062805098119	0.0671355583737942	1	1
1769410_at	1.48830007874383	1.91666938092839	1.80321494857303	1.46564512318547	1.57110080281905	1.68669710924051	1.73606146941508	0.221939760038134	1.57448101174834	0.110564752493838	1.10262458325065	0.140941672094392	0.140941672094392	0.322136214806528	1	1
1769411_at	9.00940885226161	8.82441778855326	8.84579844657265	10.966190841532	10.9710716708639	10.8625670317936	8.89320836246251	0.101198806843258	10.9332765147298	0.0612848175046145	0.813407431018611	-0.297949924047079	0.297949924047079	7.48450081020747e-06	0.0817906248539472	0.0817906248539472
1769412_at	1.01467438564813	1.19000722974848	1.32094318262985	1.0480966673679	0.917895469714114	0.906486409892219	1.17520826600882	0.153669779062063	0.957492848991411	0.0786722987448869	1.22738072377955	0.29558283099801	0.29558283099801	0.0942891875847433	1	1
1769413_at	1.89853907185214	2.07900693485305	2.50720589231792	1.65837109057401	1.75834780078779	1.69050920069548	2.16158396634104	0.312622854540429	1.70240936401909	0.0510396518565619	1.26972043976421	0.344510887105333	0.344510887105333	0.0660036729646013	1	1
1769414_at	1.54367462979545	1.61261347619209	1.41040435424044	1.43430085373355	1.54312361738154	1.1800535463269	1.52223082007599	0.102795962866144	1.385826005814	0.186325863165915	1.09842852832154	0.135441000675529	0.135441000675529	0.329139001998059	1	1
1769415_at	1.69050920069548	1.68971679266016	2.0077904486575	1.72663288839895	1.71918572657907	1.83703208802519	1.79600548067105	0.183411590354565	1.7609502343344	0.0659939497269452	1.0199070056911	0.0284376144080422	0.0284376144080422	0.770984396566411	1	1
1769416_at	1.59769468926843	1.6799587770452	1.56796762081235	1.21962170945886	1.33585347505837	1.31387734718131	1.61520702904199	0.0580130700950327	1.28978417723285	0.0617480077591092	1.25230798885076	0.324589417976661	0.324589417976661	0.00265107160813692	1	1
