probe_id	b1	b2	b3	c1	c2	c3	b_mean	b_std	c_mean	c_std	fold_change	log2_fold_change	abs_log2_fold_change	p_value	fdr
1777739_at	1.12629218515793	1.41571785128122	1.3609989675596201	1.16531629849868	1.24878167315569	0.793614119394005	1.3010030013329235	0.15375773484717364	1.0692373636827917	0.24231745043612915	1.2167578926084828	0.28304213281669255	0.28304213281669255	0.23443473266407577	0.9111215630145474
1777740_x_at	6.77843869998799	2.8492900472175	2.27490646011688	6.554715416205389	3.44444616911253	6.77510181643394	3.9675450691074565	2.451187748699843	5.591421133917287	1.8625972903382024	0.7095772209037382	-0.49496839840608226	0.49496839840608226	0.41260548201491704	0.9111215630145474
1777741_at	1.55045615856779	2.11962869551089	2.00216778074361	1.66906832633741	1.7873867239561798	1.56513923285326	1.8907508782740965	0.3004989830589894	1.67386476104895	0.11120135415021773	1.1295720671538791	0.1757763181933686	0.1757763181933686	0.3060907204024377	0.9111215630145474
1777742_at	1.0103281872112	0.949754835738675	0.9699924332580091	0.9699924332580091	0.98519302818362	1.0523947503321802	0.9766918187359613	0.030837380749508522	1.0025267372579363	0.043850639305520266	0.9742301950044371	-0.03766539654981699	0.03766539654981699	0.450831218591844	0.9111215630145474
1777743_at	1.3928726518821999	2.2697462876000802	1.9991176458522701	1.6103916744581201	2.0096379177621	1.80208052449994	1.88724552844485	0.44901377622984817	1.8073700389067202	0.19967567433235292	1.0441943198230985	0.06239021589066779	0.06239021589066779	0.7922654453321106	0.9380258620029546
1777744_at	6.747322993400751	6.98005467378249	7.22676284317256	6.6336834257524595	6.920062879719009	6.56886583740443	6.984713503451933	0.23975387568863302	6.707537380958633	0.18688404334593073	1.0413230827874547	0.05841775126914693	0.05841775126914693	0.18941541174497534	0.9111215630145474
1777745_at	1.4904284604427098	1.3284144563492999	1.76978065577496	1.23017213310914	1.3284144563492999	1.4518797533243	1.5295411908556567	0.22326751837007053	1.3368221142609134	0.1110926808976921	1.1441620949704976	0.1942914551269065	0.1942914551269065	0.2517412512142781	0.9111215630145474
1777746_at	1.57384494156261	2.26018894274039	2.1069594929485103	1.61528304558686	1.8937146922111698	1.68944124798408	1.9803311257505036	0.36026806619877666	1.7328129952607032	0.1441938861632198	1.1428418018371111	0.19262571195058528	0.19262571195058528	0.3312357011124166	0.9111215630145474
1777747_at	1.9442939183483299	2.0408128391140603	1.90775821396642	2.05927088698345	2.02499956745027	2.13301430225582	1.9642883238096036	0.06874383976479	2.0724282522298467	0.05519631263905807	0.9478196997633626	-0.07731544820725245	0.07731544820725245	0.10082226268495927	0.9111215630145474
1777748_at	9.88678388817219	10.0483234997485	9.642518026283831	9.712530732234061	10.1299540173414	9.935154912428331	9.859208471401507	0.204303263021002	9.925879887334597	0.20886615165056763	0.9932830724641185	-0.00972316963904911	0.00972316963904911	0.7128376680449284	0.9186191080654456
